Date,Artist ,Album,Genre,Year,Label
30/05/2022,Shamir,Heterosexuality,Pop,2022,AntiFragile Music
31/05/2022,HAAi,"Baby, We're Ascending",Electronic,2022,Mute Artists
01/06/2022,Brutalismus 3000,Eros Massacre,Electronic,2022,Brutalismus Rec
01/06/2022,Marina Herlop,Pripyat,Experimental,2022,PAN
01/06/2022,Harry Styles,Harry's House,Pop,2022,Columbia Records
01/06/2022,Bernard Parmegiani,Questions of Time,Ambient,2019,Cezame
01/06/2022,Bernard Parmegiani,Concrete Music,Ambient,2010,Kosinus
03/06/2022,Duster,Together,Rock,2022,Numero Group
07/06/2022,"Miss Kitten, The Hacker",Third Album,Electronic ,2022,Nobody's Bizzness
07/06/2022,William Basinski,"""… on reflection""",Ambient ,2022,Temporary Residence Ltd
11/06/2022,Various Artists,Mr Bongo Record Club Vol.5,World Music,2022,Mr Bongo
13/06/2022,Death Grips,Interview 2016,Electronic,2016,Third Worlds
13/06/2022,Death Grips,Gmail and the Restraining Orders,Experimental,2021,Third Worlds
14/06/2022,Arca,Mutant,Experimental,2015,Mute Artists
14/06/2022,James K,036,Experimental,2021,AD 93
14/06/2022,Deftones,Around the Fur,Rock,1997,Maverick
14/06/2022,Eddie Gale,Ghetto Music,Jazz,1968,Blue Note
16/06/2022,Dorothy Ashby,Afro-Harping,Jazz,1968,Cadet
16/06/2022,Mamman Sani,La Musique Électronique Du Niger,World Music,2013,Sahel Sounds
16/06/2022,Dorothy Ashby,Hip Harp,Jazz,1958,Prestige
16/06/2022,Lionel Marchetti,"Portrait D'Un Glacier (Alpes, 2173m)",Experimental,2001,Ground Fault Recordings
19/06/2022,Leon Vynehall,Fabric Presents Leon Vynehall,Electronic,2022,Fabric Records
20/06/2022,Mu-ziq ,Magic Pony Ride,Electronic,2022,Planet Mu Records
20/06/2022,Jorge Ben Jor,Samba Esquema Novo,Jazz,1963,Philips
21/06/2022,Shabaka,Afrikan Culture,Jazz,2022,Impulse!
21/06/2022,Irreversible Entanglements,Open the Gates,Jazz,2021,Don Giovanni Records 
22/06/2022,Harvey Sutherland,Boy,Electronic,2022,House Anxiety
23/06/2022,Nurse With Wound,Soliloquy For Lilith,Ambient,1988,Idle Hole
25/06/2022,Father John Misty,Chloe and the Next 20th Century,Folk,2022,Bella Union
26/06/2022,Soccer Mommy,"Sometimes, Forever",Rock,2022,Loma Vista
26/06/2022,Holly Herndon,PROTO,Experimental,2019,4AD
27/06/2022,Whatever the Weather,Whatever the Weather,Ambient,2022,Ghostly International
27/06/2022,CINTHIE,DJ-Kicks: CINTHIE,Electronic,2022,!K7
29/06/2022,Philip Glass ,Einstein on the Beach,Classical,1979,Sony Music Entertainment
29/06/2022,SOAK,If I Never Know You Like This Again,Rock,2022,Rough Trade Records
30/06/2022,KAVARI,Healing Spring,Electronic,2021,[self]
30/06/2022,Steve Reich ,Drumming,Classical,1987,Nonesuch Records
30/06/2022,Terry Riley,Dorian Reeds (for Brass) [Matt Starling],Classical,1965,[self]
30/06/2022,Philip Glass ,The Photographer,Classical,1983,Sony Music Entertainment
01/07/2022,Fleet Foxes,A Very Lonely Solstice,Folk,2021,Anti-
01/07/2022,Nick Drake,Bryter Layter,Folk,1970,Island Records
02/07/2022,Moor Mother,Jazz Codes,Hip Hop,2022,Anti-
03/07/2022,Various Artists,"We Are Not Alone, Pt.5",Electronic,2022,BPitch
05/07/2022,Jasss,A World of Service,Electronic,2021,Ostgut Ton
05/07/2022,Felicia Atkinson,Image Langage,Ambient,2022,Shelter Press
05/07/2022,Lucrecia Dalt,Anticlines,Ambient,2018,RVNG Intl.
06/07/2022,Nurse With Wound,Chance Meeting on a Dissecting Table of a Sewing Machine and an Umbrella,Experimental,1979,United Diaries
06/07/2022,William Basinski,Watermusic II,Ambient,2003,2062 Records
06/07/2022,Various Artists,Sounds From the Iranian Ultraverse,Experimental,2022,Shaytoon Records
07/07/2022,Sampa the Great,The Return,Hip Hop,2019,Ninja Tune 
07/07/2022,BABii,MiiRROR,Pop,2021,Gloo
07/07/2022,LSDXOXO,BODY MODS,Electronic,2018,Floorgasm
07/07/2022,WE ROB RAVE,WE ROB RAVE 7,Electronic,2022,[self]
09/07/2022,Caterina Barbieri,Spirit Exit,Ambient,2022,light-years
09/07/2022,Kali Malone,Living Torch,Ambient,2022,Portraits GRM
11/07/2022,ROSALÍA,El Mal Querer,Pop,2018,Sony Music Entertainment
11/07/2022,ROSALÍA,MOTOMAMI,Pop,2022,Columbia Records
12/07/2022,LEYA ,Flood Dream,Experimental,2020,NNA Tapes
12/07/2022,Laurel Halo,Antenna,Experimental,2011,NNA Tapes
13/07/2022,Coil,Love's Secret Domain,Experimental,1991,Wax Trax! Records
13/07/2022,Throbbing Gristle,Mission Of Dead Souls,Experimental,1981,Mute Artists
13/07/2022,Rosa Yemen,Rosa Yemen,Rock,1980,ZE Records
13/07/2022,X-ray Spex,Germ Free Adolescents,Rock,1978,EMI
14/07/2022,Skee Mask,A,Electronic,2022,[self]
14/07/2022,Various Artists,"Space, Energy & Light: Experimental Electronic and Acoustic Soundscapes 1961-88",Electronic,2017,Soul Jazz Records
16/07/2022,Various Artists,"Disco: A Fine Selection of Independent Disco, Modern Soul and Boogie 1978-82",Electronic,2015,Soul Jazz Records
17/07/2022,Sonic Youth,Goo,Rock,1990,Geffen Records
17/07/2022,James Hardway,Welcome to the Neon Lounge,Electronic,1997,Recordings of Substance
18/07/2022,Daniel Avery,Together in Static,Electronic,2021,Phantasy Sound
18/07/2022,Om Unit ,Self ,Electronic,2017,Cosmic Bridge
18/07/2022,Liaisons Dangereuses,Liaisons Dangereuses,Electronic,1981,Mute Artists
18/07/2022,Kemistry & Storm,DJ-Kicks: Kemistry & Storm,Electronic,1999,!K7
07/08/2022,Domo Genesis,"Intros, Outros & Interludes",Hip Hop,2022,Bigger Picture Recordings
09/08/2022,Wu-Lu,LOGGERHEAD,Hip Hop,2022,WARP
10/08/2022,Bjork,Vespertine,Pop,2001,One Little Independent
11/08/2022,Fiona Apple,When the Pawn...,Rock,1999,Epic
11/08/2022,Body Sculptures,A Body Turns to Eden,Ambient,2016,Posh Isolation
11/08/2022,Beyonce,Renaissance,Pop,2022,Columbia Records
12/08/2022,Bjork,Medulla,Pop,2004,One Little Independent
12/08/2022,Wooden Elephant,"Landscapes, Knives & Glue - Radiohead's Kid A Recycled",Classical,2021,Backlash Music
13/08/2022,Buttechno,Early Tunes (2013-14),Electronic,2020,PSY X Records
14/08/2022,"Buttechno, Bendik Giske",Pavel Milyakov & Bendik Giske,Ambient,2021,Smalltown Supersound
14/08/2022,LEYA ,Eyeline,Experimental,2022,NNA Tapes
14/08/2022,Tim Hecker,Love Streams,Ambient,2016,4AD
14/08/2022,Johan Johannson,Arrival Soundtrack,Classical ,2016,Deutsche Grammophon 
15/08/2022,Bushman's Revenge,A Little Bit of Big Bonanza,Rock,2012,Rune Grammofon
16/08/2022,Yion,machine.learning,Electronic,2022,[self]
17/08/2022,Mall Grab,What I Breathe,Electronic,2022,[self]
17/08/2022,Nick Leon,FT060,Electronic,2021,Future Times Records
20/08/2022,Hudson Mohawke,Cry Sugar,Electronic,2022,WARP
21/08/2022,Steril,Robofication,Electronic,2000,Erkrankung Durch Musique
22/08/2022,Tenorio Jr.,Embalo,Jazz,1964,Mr Bongo
22/08/2022,Black Midi,Hellfire,Rock,2022,Rough Trade Records
23/08/2022,DJ Plead,Relentless Trills,Electronic,2021,Documenting Sound
23/08/2022,Alice Coltrane,Lord of Lords,Jazz,1972,Impulse!
24/08/2022,Lingua Ignota,CALIGULA,Experimental,2019,Profound Lore
27/08/2022,Nouns,WHILE OF UNSOUND MIND,Rock,2022,[self]
29/08/2022,Filmmaker,The Love Market,Electronic,2019,Detriti Records
12/09/2022,Jockstrap,I Love You Jennifer B,Electronic,2022,Rough Trade Records
13/09/2022,Fontaines D.C.,Skinty Fia,Rock,2022,Partisan Records
13/09/2022,NoSo,Stay Proud Of Me,Pop,2022,Partisan Records
14/09/2022,Boards of Canada,Geogaddi,Electronic,2002,WARP 
14/09/2022,"Juan Atkins, Moritz von Oswald",Borderland: Transport,Electronic,2016,Tresor Records
